question,dt
최근 일주일간 본부별 HDV CEI 조회해줘,240429 18:50
최근 일주일간 본부별 HDV CEI 조회해줘,240429 22:05
최근 일주일간 본부별 HDV CEI 조회해줘,240430 13:26
어제 IP 백홀 작업 목록 조회해줘,240430 13:27
최근 일주일간 본부별 HDV CEI 조회해줘,240430 13:28
최근 일주일간 본부별 HDV CEI 조회해줘,240430 13:46
최근 일주일간 본부별 HDV CEI 조회해줘,240430 13:46
어제 서부본부에서 다운링크 PRB 사용율이 가장 높았던 시간대와 PRB 사용율 알려줘,240430 14:28
최근 일주일간 본부별 HDV CEI 조회해줘,240430 15:32
최근 일주일간 본부별 HDV CEI 조회해줘,240430 16:15
최근 일주일간 본부별 HDV CEI 조회해줘,240430 16:22
최근 일주일간 본부별 HDV CEI 조회해줘,240430 16:31
최근 일주일간 본부별 HDV CEI 조회해줘,240430 16:32
최근 일주일간 본부별 HDV CEI 조회해줘,240430 16:34
어제 IP 백홀 작업 목록 조회해줘,240430 17:49
23년 타종식 이벤트 분석 리포트 작성해줘,240430 19:00
최근 일주일간 본부별 HDV CEI 조회해줘,240502 16:42
어제 IP 백홀 작업 목록 조회해줘,240502 16:43
cem 테이블 어떤걸 가지고 있어?,240502 16:47
23년 타종식 이벤트 분석 리포트 작성해줘,240502 17:47
오늘 IP 백본 포트별 5분 KPI 통계 조회해줘,240502 17:47
23년 타종식 이벤트 분석 리포트 작성해줘,240502 17:58
최근 일주일간 본부별 HDV CEI 조회해줘,240503 09:22
최근 일주일간 본부별 HDV CEI 조회해줘,240503 14:09
최근 일주일간 본부별 HDV CEI 조회해줘,240503 14:14
최근 일주일간 본부별 HDV CEI 조회해줘,240503 17:48
최근 일주일간 본부별 HDV CEI 조회해줘,240503 17:49
어제 IP 백홀 작업 목록 조회해줘,240503 18:48
최근 일주일간 본부별 HDV CEI 조회해줘,240507 08:39
최근 일주일간 본부별 HDV CEI 조회해줘,240507 09:58
어제 IP 백홀 작업 목록 조회해줘,240507 10:02
최근 일주일간 본부별 HDV CEI 조회해줘,240507 10:56
최근 일주일간 본부별 HDV CEI 조회해줘,240507 14:29
23년 타종식 이벤트 분석 리포트 작성해줘,240507 14:43
