k_date,title,place,lat,lon,url_link,start_date,end_date,area,category,dt
20240809 ~ 20240814,통영한산대첩축제,한산대첩광장 및 통영시 일원,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=1908491&qvt=0&query=%ED%86%B5%EC%98%81%ED%95%9C%EC%82%B0%EB%8C%80%EC%B2%A9%EC%B6%95%EC%A0%9C,20240809,20240814,,,
20240813 ~ 20240815,서대문독립축제,"서대문형무소역사관, 독립공원",,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=19292765&qvt=0&query=%EC%84%9C%EB%8C%80%EB%AC%B8%EB%8F%85%EB%A6%BD%EC%B6%95%EC%A0%9C,20240813,20240815,,,
20240810 ~ 20240815,신송도해변축제,송도달빛공원 일원 (송도국제교~컨벤시아교 사이),,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=31640373&qvt=0&query=%EC%8B%A0%EC%86%A1%EB%8F%84%ED%95%B4%EB%B3%80%EC%B6%95%EC%A0%9C,20240810,20240815,,,
20240809 ~ 20240817,대전 0시 축제,중앙로(대전역 ~ 옛충남도청) 일원,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=31722391&qvt=0&query=%EB%8C%80%EC%A0%84%200%EC%8B%9C%20%EC%B6%95%EC%A0%9C,20240809,20240817,,,
20240808 ~ 20240818,천리포행 무궁화호,천리포수목원,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=31983039&qvt=0&query=%EC%B2%9C%EB%A6%AC%ED%8F%AC%ED%96%89%20%EB%AC%B4%EA%B6%81%ED%99%94%ED%98%B8,20240808,20240818,,,
20240808 ~ 20240825,서울프린지페스티벌,"서울시 마포구, 서대문구 일대 실내외공간",,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=1908305&qvt=0&query=%EC%84%9C%EC%9A%B8%ED%94%84%EB%A6%B0%EC%A7%80%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C,20240808,20240825,,,
20240802 ~ 20240825,국가유산 미디어아트 진주성,진주성,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=34639554&qvt=0&query=%EA%B5%AD%EA%B0%80%EC%9C%A0%EC%82%B0%20%EB%AF%B8%EB%94%94%EC%96%B4%EC%95%84%ED%8A%B8%20%EC%A7%84%EC%A3%BC%EC%84%B1,20240802,20240825,,,
20240729 ~ 20240818,고스트파크 어웨이크,합천영상테마파크,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=34385368&qvt=0&query=%EA%B3%A0%EC%8A%A4%ED%8A%B8%ED%8C%8C%ED%81%AC%20%EC%96%B4%EC%9B%A8%EC%9D%B4%ED%81%AC,20240729,20240818,,,
20240726 ~ 20240818,홍천황금보리축제,보리울권역체험관,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=34982669&qvt=0&query=%ED%99%8D%EC%B2%9C%ED%99%A9%EA%B8%88%EB%B3%B4%EB%A6%AC%EC%B6%95%EC%A0%9C,20240726,20240818,,,
20240724 ~ 20240818,렛츠런파크 제주 몽생이 아쿠아 파티,렛츠런파크 제주,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=35073823&qvt=0&query=%EB%A0%9B%EC%B8%A0%EB%9F%B0%ED%8C%8C%ED%81%AC%20%EC%A0%9C%EC%A3%BC%20%EB%AA%BD%EC%83%9D%EC%9D%B4%20%EC%95%84%EC%BF%A0%EC%95%84%20%ED%8C%8C%ED%8B%B0,20240724,20240818,,,
20240730 ~ 20240825,아시아프,옛 국립극단 백성희장민호극장,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=1908383&qvt=0&query=%EC%95%84%EC%8B%9C%EC%95%84%ED%94%84,20240730,20240825,,,
20240719 ~ 20240815,태백 해바라기축제,태백해바라기축제장,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=26472692&qvt=0&query=%ED%83%9C%EB%B0%B1%20%ED%95%B4%EB%B0%94%EB%9D%BC%EA%B8%B0%EC%B6%95%EC%A0%9C,20240719,20240815,,,
20240720 ~ 20240818,구팔일 선셋 레이스,모노리스 제주파크,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=35066339&qvt=0&query=%EA%B5%AC%ED%8C%94%EC%9D%BC%20%EC%84%A0%EC%85%8B%20%EB%A0%88%EC%9D%B4%EC%8A%A4,20240720,20240818,,,
20240726 ~ 20240825,"심야공포촌, Horror Village In The Dead of Night",한국민속촌,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=28614658&qvt=0&query=%EC%8B%AC%EC%95%BC%EA%B3%B5%ED%8F%AC%EC%B4%8C%20Horror%20Village%20In%20The%20Dead%20of%20Night,20240726,20240825,,,
