event_name,event_period_start,event_period_end,event_place
장수 쿨밸리 페스티벌,2024.08.02.,2024.08.11.,전북특별자치도 장수군 방화동자연휴양림
국가유산 미디어아트 진주성,2024.08.02.,2024.08.25.,경상남도 진주시 진주성
강릉국제청소년예술축전,2024.07.30.,2024.08.11.,강원특별자치도 강릉시 월화거리
한강페스티벌,2024.07.26.,2024.08.11.,서울특별시 광진구 뚝섬한강공원
고스트파크 어웨이크,2024.07.29.,2024.08.18.,경상남도 합천군 합천영상테마파크
홍천황금보리축제,2024.07.26.,2024.08.18.,강원특별자치도 홍천군 보리울권역무궁화체험관
아시아프,2024.07.30.,2024.08.25.,서울특별시 용산구 옛 국립극단 백성희장민호극장
태백 해바라기축제,2024.07.19.,2024.08.15.,강원 태백시 태백 해바라기축제
"영남춤축제 '춤,보고싶다'",2024.07.13.,2024.08.10.,부산 부산진구 국립부산국악원
"심야공포촌, Horror Village In The Dead of Night",2024.07.26.,2024.08.25.,경기도 용인시 한국민속촌
율봄식물원 봉선화 시즌,2024.08.03.,2024.09.08.,경기도 광주시 율봄식물원
렛츠런파크 부산경남 블루밍 워터페스티벌,2024.07.06.,2024.08.25.,부산광역시 강서구 렛츠런파크 부산경남
베어트리파크 SUMMER FESTIVAL,2024.07.06.,2024.08.25.,세종특별자치시 전동면 베어트리파크
쁘띠프랑스 & 이탈리아마을 베니스가면축제,2024.07.01.,2024.08.31.,경기도 가평군 쁘띠프랑스
휴애리 유럽 수국축제,2024.07.19.,2024.09.15.,제주특별자치도 서귀포시 휴애리자연생활공원
한국민속촌 여름축제: 마른 하늘에 물벼락,2024.06.22.,2024.08.25.,경기도 용인시 한국민속촌
화담숲 여름 수국 축제,2024.06.17.,2024.08.23.,경기도 광주시 화담숲
이월드 트로피컬 아쿠아월드,2024.06.15.,2024.08.31.,대구광역시 달서구 이월드
동강국제사진제,2024.07.12.,2024.09.29.,강원특별자치도 영월군 동강사진박물관
용설애(愛) FESTA,2024.07.20.,2024.10.20.,경기도 안성시 안성연극협회
신사리 상권 릴레이 이벤트,2024.08.03.,2024.11.09.,서울특별시 관악구
구팔일 올데이 페스티벌,2024.05.04.,2024.08.31.,제주특별자치도 제주시 9.81 파크 제주
별바다부산 나이트페스타,2024.07.01.,2024.10.31.,부산 사하구 다대포해변공원
양평메기수염축제,2024.05.11.,2024.09.08.,경기도 양평군 수미마을 메기수염축제
경기전 왕과의 산책,2024.06.15.,2024.10.26.,전북특별자치도 전주시 전주경기전
마노르블랑 수국축제,2024.04.10.,2024.08.31.,제주특별자치도 서귀포시 마노르블랑
국립세종수목원 야간개장 '특별한 夜행',2024.05.18.,2024.10.12.,세종특별자치시 세종동 국립세종수목원
문화가 있는 날 실버마이크 <전라·제주 권역>,2024.06.26.,2024.12.01.,광주광역시 광산구 쌍암공원
